device_type,device_name,action_type,action_value,start_time,end_time
Camera,camera_Callisto,open,{},2023-12-16 23:03:47.822,2023-12-17 09:11:00.813
Camera,camera_Callisto,flats,"{'filter': ['I+z', ""z'""], 'n': [10, 10]}",2023-12-16 23:33:47.822,2023-12-17 00:08:40.020
Camera,camera_Callisto,object,"{'object': 'Sp0426+0336', 'filter': 'I+z', 'ra': 66.58308333333333, 'dec': 3.6100480555555556, 'exptime': 22, 'guiding': True, 'pointing': False}",2023-12-17 00:08:40.020,2023-12-17 04:33:40.020
Camera,camera_Callisto,object,"{'object': 'Sp0642-6707', 'filter': ""z'"", 'ra': 100.61784583333332, 'dec': -67.12215388888889, 'exptime': 10, 'guiding': True, 'pointing': False}",2023-12-17 04:35:40.020,2023-12-17 09:06:40.020
Camera,camera_Callisto,flats,"{'filter': ['I+z', ""z'""], 'n': [10, 10]}",2023-12-17 09:06:40.020,2023-12-17 09:11:00.813
Camera,camera_Callisto,close,{},2023-12-17 09:11:00.813,2023-12-17 09:16:00.813
Camera,camera_Callisto,calibration,"{'exptime': [0, 10, 15, 22, 30, 60, 120], 'n': [10, 10, 10, 10, 10, 10, 10]}",2023-12-17 09:11:00.813,2023-12-17 10:41:00.813
