header,dtype,fixed,device_type,device_command,comment
FW-DVER,str,true,FilterWheel,DriverVersion,FilterWheel driver version
,,,,,
FOCUSPOS,float,false,Focuser,Position,[mm] Focuser position
FOCUSSSZ,float,true,Focuser,StepSize,[micron] Focuser step size
FOCUSTEM,float,false,Focuser,Temperature,[Celsius] Focuser temperature
,,,,,
RA,float,false,Telescope,RightAscension,[deg] Target Right Ascension
DEC,float,false,Telescope,Declination,[deg] Target Declination
APTAREA,float,true,astra,ApertureArea,[mm^2] Aperture area of telescope
APTDIA,float,true,astra,ApertureDiameter,[mm] Aperture diameter of telescope
FOCALLEN,float,true,astra,FocalLength,[mm] Focal length of telescope
ALT-OBS,float,true,Telescope,SiteElevation,[m] Altitude above mean sea level
LAT-OBS,float,true,Telescope,SiteLatitude,[deg +N WGS84] Geodetic latitude
LONG-OBS,float,true,Telescope,SiteLongitude,[deg +E WGS84] Geodetic longitude
ALTITUDE,float,false,Telescope,Altitude,[deg] Telescope altitude in horizontal coordinates
AZIMUTH,float,false,Telescope,Azimuth,[deg] Telescope azimuth in horizontal coordinates
AIRMASS,float,false,astra,,Averaged airmass
TEL-DNAM,str,true,Telescope,Name,Short name of Telescope driver
TEL-DVER,str,true,Telescope,DriverVersion,Telescope driver version
TRACKING,bool,false,Telescope,Tracking,Tracking
SLEWING,bool,false,Telescope,Slewing,Slewing
TELPARK,bool,false,Telescope,AtPark,Telescope at park
,,,,,
DOMEAZ,float,false,Dome,Azimuth,[deg] Dome azimuth in horizontal coordinates
DOMESTAT,int,false,Dome,ShutterStatus,Dome shutter status
DOM-DNAM,str,true,Dome,Name,Short name of Dome driver
DOMPARK,bool,false,Dome,AtPark,Dome at park
,,,,,
IMAGETYP,str,true,astra,,Type of image
,,,,,
DEWPOINT,float,false,ObservingConditions,DewPoint,[Celsius] Dew point
HUMIDITY,float,false,ObservingConditions,Humidity,[%] Ambient atmospheric humidity
AMBTEMP,float,false,ObservingConditions,Temperature,[Celsius] Ambient temperature
WINDSPD,float,false,ObservingConditions,WindSpeed,[m/s] Wind speed
SKYTEMP,float,false,ObservingConditions,SkyTemperature,[Celsius] Sky temperature
OBC-DNAM,str,true,ObservingConditions,Name,Short name of ObservingConditions driver
OBC-DVER,str,true,ObservingConditions,DriverVersion,ObservingConditions driver version
,,,,,
SAF-DNAM,str,true,SafetyMonitor,Name,Short name of SafetyMonitor driver
SAF-DVER,str,true,SafetyMonitor,DriverVersion,SafetyMonitor driver version
,,,,,
JD-OBS,float,false,astra,,Julian Date at start of exposure
HJD-OBS,float,false,astra,,Heliocentric Julian Date at start of exposure
BJD-OBS,float,false,astra,,Barycentric Julian Date at start of exposure
JD-END,float,false,astra,,Julian Date at end of exposure
MJD-END,float,false,astra,,Modified Julian Date at end of exposure
DATE-END,str,false,astra,,[ISO 8601] UTC date/time at end of exposure
,,,,,
ASTRA,str,true,astra,,Version of Astra
,,,,,
WCSAXES,int,true,astra_fixed,0,no comment
CTYPE1,str,true,astra_fixed,,TAN (gnomic) projection
CTYPE2,str,true,astra_fixed,,TAN (gnomic) projection
CRVAL1,float,true,astra_fixed,0.0,RA  of reference point
CRVAL2,float,true,astra_fixed,0.0,DEC of reference point
CRPIX1,float,true,astra_fixed,0.0,X reference pixel
CRPIX2,float,true,astra_fixed,0.0,Y reference pixel
CUNIT1,str,true,astra_fixed,,X pixel scale units
CUNIT2,str,true,astra_fixed,,Y pixel scale units
CD1_1,float,true,astra_fixed,0.0,Transformation matrix
CD1_2,float,true,astra_fixed,0.0,Transformation matrix
CD2_1,float,true,astra_fixed,0.0,Transformation matrix
CD2_2,float,true,astra_fixed,0.0,Transformation matrix
